image_path,target
./image_data/preprocessing_images\B\B549.jpg,1.0
./image_data/preprocessing_images\D\D512.jpg,3.0
./image_data/preprocessing_images\R\R406.jpg,17.0
./image_data/preprocessing_images\A\A62.jpg,0.0
./image_data/preprocessing_images\P\P790.jpg,15.0
./image_data/preprocessing_images\T\T478.jpg,19.0
./image_data/preprocessing_images\space\space95.jpg,28.0
./image_data/preprocessing_images\U\U811.jpg,20.0
./image_data/preprocessing_images\U\U575.jpg,20.0
./image_data/preprocessing_images\L\L706.jpg,11.0
./image_data/preprocessing_images\V\V536.jpg,21.0
./image_data/preprocessing_images\nothing\nothing781.jpg,27.0
./image_data/preprocessing_images\R\R601.jpg,17.0
./image_data/preprocessing_images\Y\Y839.jpg,24.0
./image_data/preprocessing_images\M\M150.jpg,12.0
./image_data/preprocessing_images\Z\Z367.jpg,25.0
./image_data/preprocessing_images\U\U264.jpg,20.0
./image_data/preprocessing_images\nothing\nothing835.jpg,27.0
./image_data/preprocessing_images\del\del162.jpg,26.0
./image_data/preprocessing_images\K\K109.jpg,10.0
./image_data/preprocessing_images\A\A352.jpg,0.0
./image_data/preprocessing_images\Z\Z913.jpg,25.0
./image_data/preprocessing_images\U\U620.jpg,20.0
./image_data/preprocessing_images\H\H420.jpg,7.0
./image_data/preprocessing_images\E\E577.jpg,4.0
./image_data/preprocessing_images\W\W762.jpg,22.0
./image_data/preprocessing_images\V\V986.jpg,21.0
./image_data/preprocessing_images\V\V604.jpg,21.0
./image_data/preprocessing_images\B\B306.jpg,1.0
./image_data/preprocessing_images\Q\Q967.jpg,16.0
./image_data/preprocessing_images\Y\Y211.jpg,24.0
./image_data/preprocessing_images\del\del601.jpg,26.0
./image_data/preprocessing_images\S\S677.jpg,18.0
./image_data/preprocessing_images\A\A340.jpg,0.0
./image_data/preprocessing_images\A\A731.jpg,0.0
./image_data/preprocessing_images\R\R505.jpg,17.0
./image_data/preprocessing_images\Q\Q235.jpg,16.0
./image_data/preprocessing_images\del\del231.jpg,26.0
./image_data/preprocessing_images\U\U692.jpg,20.0
./image_data/preprocessing_images\M\M693.jpg,12.0
./image_data/preprocessing_images\O\O651.jpg,14.0
./image_data/preprocessing_images\L\L997.jpg,11.0
./image_data/preprocessing_images\L\L950.jpg,11.0
./image_data/preprocessing_images\R\R46.jpg,17.0
./image_data/preprocessing_images\A\A107.jpg,0.0
./image_data/preprocessing_images\I\I726.jpg,8.0
./image_data/preprocessing_images\Q\Q275.jpg,16.0
./image_data/preprocessing_images\Z\Z865.jpg,25.0
./image_data/preprocessing_images\U\U86.jpg,20.0
./image_data/preprocessing_images\B\B162.jpg,1.0
./image_data/preprocessing_images\space\space276.jpg,28.0
./image_data/preprocessing_images\H\H176.jpg,7.0
./image_data/preprocessing_images\U\U502.jpg,20.0
./image_data/preprocessing_images\W\W688.jpg,22.0
./image_data/preprocessing_images\V\V949.jpg,21.0
./image_data/preprocessing_images\L\L26.jpg,11.0
./image_data/preprocessing_images\space\space364.jpg,28.0
./image_data/preprocessing_images\F\F293.jpg,5.0
./image_data/preprocessing_images\Q\Q252.jpg,16.0
./image_data/preprocessing_images\nothing\nothing468.jpg,27.0
./image_data/preprocessing_images\J\J514.jpg,9.0
./image_data/preprocessing_images\F\F719.jpg,5.0
./image_data/preprocessing_images\Y\Y53.jpg,24.0
./image_data/preprocessing_images\A\A671.jpg,0.0
./image_data/preprocessing_images\A\A332.jpg,0.0
./image_data/preprocessing_images\A\A727.jpg,0.0
./image_data/preprocessing_images\P\P216.jpg,15.0
./image_data/preprocessing_images\space\space414.jpg,28.0
./image_data/preprocessing_images\A\A363.jpg,0.0
./image_data/preprocessing_images\space\space340.jpg,28.0
./image_data/preprocessing_images\T\T69.jpg,19.0
./image_data/preprocessing_images\W\W890.jpg,22.0
./image_data/preprocessing_images\G\G694.jpg,6.0
./image_data/preprocessing_images\N\N699.jpg,13.0
./image_data/preprocessing_images\N\N706.jpg,13.0
./image_data/preprocessing_images\M\M453.jpg,12.0
./image_data/preprocessing_images\space\space164.jpg,28.0
./image_data/preprocessing_images\N\N372.jpg,13.0
./image_data/preprocessing_images\P\P107.jpg,15.0
./image_data/preprocessing_images\G\G863.jpg,6.0
./image_data/preprocessing_images\F\F683.jpg,5.0
./image_data/preprocessing_images\B\B263.jpg,1.0
./image_data/preprocessing_images\P\P908.jpg,15.0
./image_data/preprocessing_images\F\F142.jpg,5.0
./image_data/preprocessing_images\del\del303.jpg,26.0
./image_data/preprocessing_images\Y\Y901.jpg,24.0
./image_data/preprocessing_images\Z\Z41.jpg,25.0
./image_data/preprocessing_images\C\C464.jpg,2.0
./image_data/preprocessing_images\S\S257.jpg,18.0
./image_data/preprocessing_images\M\M993.jpg,12.0
./image_data/preprocessing_images\M\M550.jpg,12.0
./image_data/preprocessing_images\W\W280.jpg,22.0
./image_data/preprocessing_images\R\R851.jpg,17.0
./image_data/preprocessing_images\G\G581.jpg,6.0
./image_data/preprocessing_images\T\T413.jpg,19.0
./image_data/preprocessing_images\X\X874.jpg,23.0
./image_data/preprocessing_images\E\E249.jpg,4.0
./image_data/preprocessing_images\E\E762.jpg,4.0
./image_data/preprocessing_images\Z\Z921.jpg,25.0
./image_data/preprocessing_images\Z\Z734.jpg,25.0
./image_data/preprocessing_images\A\A249.jpg,0.0
./image_data/preprocessing_images\E\E435.jpg,4.0
./image_data/preprocessing_images\S\S484.jpg,18.0
./image_data/preprocessing_images\J\J725.jpg,9.0
./image_data/preprocessing_images\P\P773.jpg,15.0
./image_data/preprocessing_images\L\L552.jpg,11.0
./image_data/preprocessing_images\U\U109.jpg,20.0
./image_data/preprocessing_images\A\A782.jpg,0.0
./image_data/preprocessing_images\M\M51.jpg,12.0
./image_data/preprocessing_images\C\C828.jpg,2.0
./image_data/preprocessing_images\space\space650.jpg,28.0
./image_data/preprocessing_images\Q\Q378.jpg,16.0
./image_data/preprocessing_images\S\S841.jpg,18.0
./image_data/preprocessing_images\E\E444.jpg,4.0
./image_data/preprocessing_images\H\H532.jpg,7.0
./image_data/preprocessing_images\Z\Z94.jpg,25.0
./image_data/preprocessing_images\R\R879.jpg,17.0
./image_data/preprocessing_images\J\J531.jpg,9.0
./image_data/preprocessing_images\L\L817.jpg,11.0
./image_data/preprocessing_images\C\C749.jpg,2.0
./image_data/preprocessing_images\del\del735.jpg,26.0
./image_data/preprocessing_images\P\P511.jpg,15.0
./image_data/preprocessing_images\K\K309.jpg,10.0
./image_data/preprocessing_images\E\E336.jpg,4.0
./image_data/preprocessing_images\space\space685.jpg,28.0
./image_data/preprocessing_images\T\T681.jpg,19.0
./image_data/preprocessing_images\D\D752.jpg,3.0
./image_data/preprocessing_images\space\space801.jpg,28.0
./image_data/preprocessing_images\space\space518.jpg,28.0
./image_data/preprocessing_images\V\V613.jpg,21.0
./image_data/preprocessing_images\L\L847.jpg,11.0
./image_data/preprocessing_images\D\D583.jpg,3.0
./image_data/preprocessing_images\N\N960.jpg,13.0
./image_data/preprocessing_images\E\E757.jpg,4.0
./image_data/preprocessing_images\Z\Z966.jpg,25.0
./image_data/preprocessing_images\Y\Y911.jpg,24.0
./image_data/preprocessing_images\V\V307.jpg,21.0
./image_data/preprocessing_images\S\S352.jpg,18.0
./image_data/preprocessing_images\Z\Z361.jpg,25.0
./image_data/preprocessing_images\V\V205.jpg,21.0
./image_data/preprocessing_images\X\X94.jpg,23.0
./image_data/preprocessing_images\O\O696.jpg,14.0
./image_data/preprocessing_images\space\space988.jpg,28.0
./image_data/preprocessing_images\T\T617.jpg,19.0
./image_data/preprocessing_images\V\V776.jpg,21.0
./image_data/preprocessing_images\M\M105.jpg,12.0
./image_data/preprocessing_images\Z\Z985.jpg,25.0
./image_data/preprocessing_images\I\I306.jpg,8.0
./image_data/preprocessing_images\space\space600.jpg,28.0
./image_data/preprocessing_images\space\space803.jpg,28.0
./image_data/preprocessing_images\T\T337.jpg,19.0
./image_data/preprocessing_images\Q\Q828.jpg,16.0
./image_data/preprocessing_images\E\E199.jpg,4.0
./image_data/preprocessing_images\M\M817.jpg,12.0
./image_data/preprocessing_images\nothing\nothing936.jpg,27.0
./image_data/preprocessing_images\O\O972.jpg,14.0
./image_data/preprocessing_images\nothing\nothing350.jpg,27.0
./image_data/preprocessing_images\D\D159.jpg,3.0
./image_data/preprocessing_images\N\N755.jpg,13.0
./image_data/preprocessing_images\B\B635.jpg,1.0
./image_data/preprocessing_images\W\W758.jpg,22.0
./image_data/preprocessing_images\B\B495.jpg,1.0
./image_data/preprocessing_images\E\E519.jpg,4.0
./image_data/preprocessing_images\nothing\nothing787.jpg,27.0
./image_data/preprocessing_images\X\X114.jpg,23.0
./image_data/preprocessing_images\U\U662.jpg,20.0
./image_data/preprocessing_images\F\F919.jpg,5.0
./image_data/preprocessing_images\L\L756.jpg,11.0
./image_data/preprocessing_images\A\A817.jpg,0.0
./image_data/preprocessing_images\Q\Q442.jpg,16.0
./image_data/preprocessing_images\K\K612.jpg,10.0
./image_data/preprocessing_images\Y\Y499.jpg,24.0
./image_data/preprocessing_images\Z\Z195.jpg,25.0
./image_data/preprocessing_images\V\V519.jpg,21.0
./image_data/preprocessing_images\B\B546.jpg,1.0
./image_data/preprocessing_images\V\V916.jpg,21.0
./image_data/preprocessing_images\F\F752.jpg,5.0
./image_data/preprocessing_images\M\M87.jpg,12.0
./image_data/preprocessing_images\Q\Q799.jpg,16.0
./image_data/preprocessing_images\E\E61.jpg,4.0
./image_data/preprocessing_images\W\W660.jpg,22.0
./image_data/preprocessing_images\E\E256.jpg,4.0
./image_data/preprocessing_images\J\J499.jpg,9.0
./image_data/preprocessing_images\K\K742.jpg,10.0
./image_data/preprocessing_images\J\J31.jpg,9.0
./image_data/preprocessing_images\U\U305.jpg,20.0
./image_data/preprocessing_images\Y\Y448.jpg,24.0
./image_data/preprocessing_images\A\A86.jpg,0.0
./image_data/preprocessing_images\W\W700.jpg,22.0
./image_data/preprocessing_images\S\S465.jpg,18.0
./image_data/preprocessing_images\A\A641.jpg,0.0
./image_data/preprocessing_images\W\W529.jpg,22.0
./image_data/preprocessing_images\O\O133.jpg,14.0
./image_data/preprocessing_images\Y\Y691.jpg,24.0
./image_data/preprocessing_images\L\L112.jpg,11.0
./image_data/preprocessing_images\B\B488.jpg,1.0
./image_data/preprocessing_images\N\N987.jpg,13.0
./image_data/preprocessing_images\D\D5.jpg,3.0
./image_data/preprocessing_images\L\L196.jpg,11.0
./image_data/preprocessing_images\space\space132.jpg,28.0
./image_data/preprocessing_images\W\W120.jpg,22.0
./image_data/preprocessing_images\K\K636.jpg,10.0
./image_data/preprocessing_images\F\F873.jpg,5.0
./image_data/preprocessing_images\W\W97.jpg,22.0
./image_data/preprocessing_images\L\L733.jpg,11.0
./image_data/preprocessing_images\space\space634.jpg,28.0
./image_data/preprocessing_images\R\R618.jpg,17.0
./image_data/preprocessing_images\Y\Y830.jpg,24.0
./image_data/preprocessing_images\Q\Q536.jpg,16.0
./image_data/preprocessing_images\space\space301.jpg,28.0
./image_data/preprocessing_images\R\R711.jpg,17.0
./image_data/preprocessing_images\B\B595.jpg,1.0
./image_data/preprocessing_images\P\P916.jpg,15.0
./image_data/preprocessing_images\M\M435.jpg,12.0
./image_data/preprocessing_images\X\X312.jpg,23.0
./image_data/preprocessing_images\V\V642.jpg,21.0
./image_data/preprocessing_images\Q\Q529.jpg,16.0
./image_data/preprocessing_images\nothing\nothing630.jpg,27.0
./image_data/preprocessing_images\O\O301.jpg,14.0
./image_data/preprocessing_images\F\F783.jpg,5.0
./image_data/preprocessing_images\S\S577.jpg,18.0
./image_data/preprocessing_images\B\B5.jpg,1.0
./image_data/preprocessing_images\B\B199.jpg,1.0
./image_data/preprocessing_images\C\C733.jpg,2.0
./image_data/preprocessing_images\del\del708.jpg,26.0
./image_data/preprocessing_images\P\P228.jpg,15.0
./image_data/preprocessing_images\E\E128.jpg,4.0
./image_data/preprocessing_images\V\V900.jpg,21.0
./image_data/preprocessing_images\C\C844.jpg,2.0
./image_data/preprocessing_images\D\D126.jpg,3.0
./image_data/preprocessing_images\R\R426.jpg,17.0
./image_data/preprocessing_images\X\X788.jpg,23.0
./image_data/preprocessing_images\del\del438.jpg,26.0
./image_data/preprocessing_images\J\J804.jpg,9.0
./image_data/preprocessing_images\W\W726.jpg,22.0
./image_data/preprocessing_images\T\T773.jpg,19.0
./image_data/preprocessing_images\S\S327.jpg,18.0
./image_data/preprocessing_images\F\F609.jpg,5.0
./image_data/preprocessing_images\L\L162.jpg,11.0
./image_data/preprocessing_images\P\P658.jpg,15.0
./image_data/preprocessing_images\M\M827.jpg,12.0
./image_data/preprocessing_images\G\G965.jpg,6.0
./image_data/preprocessing_images\T\T501.jpg,19.0
./image_data/preprocessing_images\G\G944.jpg,6.0
./image_data/preprocessing_images\space\space355.jpg,28.0
./image_data/preprocessing_images\I\I227.jpg,8.0
./image_data/preprocessing_images\L\L731.jpg,11.0
./image_data/preprocessing_images\E\E384.jpg,4.0
./image_data/preprocessing_images\E\E126.jpg,4.0
./image_data/preprocessing_images\G\G355.jpg,6.0
./image_data/preprocessing_images\Q\Q215.jpg,16.0
./image_data/preprocessing_images\E\E614.jpg,4.0
./image_data/preprocessing_images\F\F88.jpg,5.0
./image_data/preprocessing_images\space\space172.jpg,28.0
./image_data/preprocessing_images\W\W537.jpg,22.0
./image_data/preprocessing_images\M\M35.jpg,12.0
./image_data/preprocessing_images\V\V568.jpg,21.0
./image_data/preprocessing_images\N\N184.jpg,13.0
./image_data/preprocessing_images\O\O800.jpg,14.0
./image_data/preprocessing_images\Q\Q905.jpg,16.0
./image_data/preprocessing_images\space\space951.jpg,28.0
./image_data/preprocessing_images\K\K256.jpg,10.0
./image_data/preprocessing_images\V\V800.jpg,21.0
./image_data/preprocessing_images\F\F754.jpg,5.0
./image_data/preprocessing_images\W\W496.jpg,22.0
./image_data/preprocessing_images\J\J471.jpg,9.0
./image_data/preprocessing_images\T\T395.jpg,19.0
./image_data/preprocessing_images\J\J426.jpg,9.0
./image_data/preprocessing_images\space\space667.jpg,28.0
./image_data/preprocessing_images\del\del538.jpg,26.0
./image_data/preprocessing_images\space\space694.jpg,28.0
./image_data/preprocessing_images\J\J140.jpg,9.0
./image_data/preprocessing_images\M\M484.jpg,12.0
./image_data/preprocessing_images\del\del772.jpg,26.0
./image_data/preprocessing_images\Q\Q11.jpg,16.0
./image_data/preprocessing_images\N\N762.jpg,13.0
./image_data/preprocessing_images\T\T558.jpg,19.0
./image_data/preprocessing_images\N\N369.jpg,13.0
./image_data/preprocessing_images\H\H2.jpg,7.0
./image_data/preprocessing_images\C\C495.jpg,2.0
./image_data/preprocessing_images\G\G805.jpg,6.0
./image_data/preprocessing_images\R\R724.jpg,17.0
./image_data/preprocessing_images\G\G505.jpg,6.0
./image_data/preprocessing_images\U\U734.jpg,20.0
./image_data/preprocessing_images\Q\Q122.jpg,16.0
./image_data/preprocessing_images\Z\Z296.jpg,25.0
./image_data/preprocessing_images\nothing\nothing73.jpg,27.0
./image_data/preprocessing_images\R\R50.jpg,17.0
./image_data/preprocessing_images\X\X78.jpg,23.0
./image_data/preprocessing_images\I\I725.jpg,8.0
./image_data/preprocessing_images\D\D460.jpg,3.0
./image_data/preprocessing_images\del\del872.jpg,26.0
./image_data/preprocessing_images\K\K464.jpg,10.0
./image_data/preprocessing_images\X\X829.jpg,23.0
./image_data/preprocessing_images\Q\Q918.jpg,16.0
./image_data/preprocessing_images\S\S74.jpg,18.0
./image_data/preprocessing_images\N\N75.jpg,13.0
./image_data/preprocessing_images\X\X263.jpg,23.0
./image_data/preprocessing_images\A\A498.jpg,0.0
./image_data/preprocessing_images\Y\Y320.jpg,24.0
./image_data/preprocessing_images\C\C226.jpg,2.0
./image_data/preprocessing_images\space\space4.jpg,28.0
./image_data/preprocessing_images\space\space420.jpg,28.0
./image_data/preprocessing_images\S\S164.jpg,18.0
./image_data/preprocessing_images\X\X944.jpg,23.0
./image_data/preprocessing_images\A\A780.jpg,0.0
./image_data/preprocessing_images\del\del395.jpg,26.0
./image_data/preprocessing_images\Q\Q207.jpg,16.0
./image_data/preprocessing_images\R\R219.jpg,17.0
./image_data/preprocessing_images\N\N623.jpg,13.0
./image_data/preprocessing_images\C\C534.jpg,2.0
./image_data/preprocessing_images\X\X977.jpg,23.0
./image_data/preprocessing_images\Y\Y269.jpg,24.0
./image_data/preprocessing_images\L\L254.jpg,11.0
./image_data/preprocessing_images\nothing\nothing914.jpg,27.0
./image_data/preprocessing_images\del\del389.jpg,26.0
./image_data/preprocessing_images\nothing\nothing476.jpg,27.0
./image_data/preprocessing_images\L\L506.jpg,11.0
./image_data/preprocessing_images\A\A74.jpg,0.0
./image_data/preprocessing_images\C\C833.jpg,2.0
./image_data/preprocessing_images\Z\Z937.jpg,25.0
./image_data/preprocessing_images\I\I710.jpg,8.0
./image_data/preprocessing_images\V\V11.jpg,21.0
./image_data/preprocessing_images\W\W421.jpg,22.0
./image_data/preprocessing_images\K\K104.jpg,10.0
./image_data/preprocessing_images\Z\Z521.jpg,25.0
./image_data/preprocessing_images\Z\Z307.jpg,25.0
./image_data/preprocessing_images\Q\Q421.jpg,16.0
./image_data/preprocessing_images\P\P213.jpg,15.0
./image_data/preprocessing_images\K\K946.jpg,10.0
./image_data/preprocessing_images\D\D273.jpg,3.0
./image_data/preprocessing_images\P\P418.jpg,15.0
./image_data/preprocessing_images\N\N452.jpg,13.0
./image_data/preprocessing_images\del\del7.jpg,26.0
./image_data/preprocessing_images\nothing\nothing246.jpg,27.0
./image_data/preprocessing_images\U\U40.jpg,20.0
./image_data/preprocessing_images\W\W933.jpg,22.0
./image_data/preprocessing_images\space\space75.jpg,28.0
./image_data/preprocessing_images\C\C468.jpg,2.0
./image_data/preprocessing_images\nothing\nothing46.jpg,27.0
./image_data/preprocessing_images\B\B811.jpg,1.0
./image_data/preprocessing_images\M\M222.jpg,12.0
./image_data/preprocessing_images\Z\Z688.jpg,25.0
./image_data/preprocessing_images\W\W112.jpg,22.0
./image_data/preprocessing_images\P\P768.jpg,15.0
./image_data/preprocessing_images\W\W640.jpg,22.0
./image_data/preprocessing_images\nothing\nothing665.jpg,27.0
./image_data/preprocessing_images\T\T856.jpg,19.0
./image_data/preprocessing_images\N\N133.jpg,13.0
./image_data/preprocessing_images\O\O963.jpg,14.0
./image_data/preprocessing_images\Z\Z74.jpg,25.0
./image_data/preprocessing_images\A\A381.jpg,0.0
./image_data/preprocessing_images\J\J6.jpg,9.0
./image_data/preprocessing_images\S\S489.jpg,18.0
./image_data/preprocessing_images\J\J781.jpg,9.0
./image_data/preprocessing_images\J\J980.jpg,9.0
./image_data/preprocessing_images\Z\Z855.jpg,25.0
./image_data/preprocessing_images\nothing\nothing774.jpg,27.0
./image_data/preprocessing_images\space\space922.jpg,28.0
./image_data/preprocessing_images\X\X579.jpg,23.0
./image_data/preprocessing_images\V\V451.jpg,21.0
./image_data/preprocessing_images\T\T932.jpg,19.0
./image_data/preprocessing_images\nothing\nothing749.jpg,27.0
./image_data/preprocessing_images\W\W460.jpg,22.0
./image_data/preprocessing_images\D\D370.jpg,3.0
./image_data/preprocessing_images\F\F301.jpg,5.0
./image_data/preprocessing_images\I\I552.jpg,8.0
./image_data/preprocessing_images\O\O356.jpg,14.0
./image_data/preprocessing_images\F\F692.jpg,5.0
./image_data/preprocessing_images\P\P630.jpg,15.0
./image_data/preprocessing_images\del\del674.jpg,26.0
./image_data/preprocessing_images\S\S0.jpg,18.0
./image_data/preprocessing_images\Y\Y764.jpg,24.0
./image_data/preprocessing_images\D\D182.jpg,3.0
./image_data/preprocessing_images\E\E795.jpg,4.0
./image_data/preprocessing_images\space\space209.jpg,28.0
./image_data/preprocessing_images\K\K738.jpg,10.0
./image_data/preprocessing_images\K\K752.jpg,10.0
./image_data/preprocessing_images\S\S792.jpg,18.0
./image_data/preprocessing_images\K\K323.jpg,10.0
./image_data/preprocessing_images\Q\Q582.jpg,16.0
./image_data/preprocessing_images\C\C391.jpg,2.0
./image_data/preprocessing_images\Q\Q811.jpg,16.0
./image_data/preprocessing_images\D\D310.jpg,3.0
./image_data/preprocessing_images\Y\Y705.jpg,24.0
./image_data/preprocessing_images\O\O221.jpg,14.0
./image_data/preprocessing_images\F\F612.jpg,5.0
./image_data/preprocessing_images\D\D261.jpg,3.0
./image_data/preprocessing_images\P\P366.jpg,15.0
./image_data/preprocessing_images\Q\Q894.jpg,16.0
./image_data/preprocessing_images\S\S783.jpg,18.0
./image_data/preprocessing_images\Z\Z202.jpg,25.0
./image_data/preprocessing_images\nothing\nothing978.jpg,27.0
./image_data/preprocessing_images\Z\Z26.jpg,25.0
./image_data/preprocessing_images\Q\Q824.jpg,16.0
./image_data/preprocessing_images\A\A989.jpg,0.0
./image_data/preprocessing_images\F\F64.jpg,5.0
./image_data/preprocessing_images\R\R479.jpg,17.0
./image_data/preprocessing_images\G\G35.jpg,6.0
./image_data/preprocessing_images\D\D132.jpg,3.0
./image_data/preprocessing_images\H\H881.jpg,7.0
./image_data/preprocessing_images\space\space507.jpg,28.0
./image_data/preprocessing_images\N\N577.jpg,13.0
./image_data/preprocessing_images\del\del83.jpg,26.0
./image_data/preprocessing_images\Z\Z772.jpg,25.0
./image_data/preprocessing_images\V\V245.jpg,21.0
./image_data/preprocessing_images\V\V311.jpg,21.0
./image_data/preprocessing_images\G\G89.jpg,6.0
./image_data/preprocessing_images\C\C931.jpg,2.0
./image_data/preprocessing_images\S\S83.jpg,18.0
./image_data/preprocessing_images\B\B474.jpg,1.0
./image_data/preprocessing_images\Z\Z994.jpg,25.0
./image_data/preprocessing_images\P\P97.jpg,15.0
./image_data/preprocessing_images\space\space311.jpg,28.0
./image_data/preprocessing_images\L\L559.jpg,11.0
./image_data/preprocessing_images\C\C783.jpg,2.0
./image_data/preprocessing_images\nothing\nothing207.jpg,27.0
./image_data/preprocessing_images\nothing\nothing531.jpg,27.0
./image_data/preprocessing_images\E\E772.jpg,4.0
./image_data/preprocessing_images\F\F41.jpg,5.0
./image_data/preprocessing_images\H\H129.jpg,7.0
./image_data/preprocessing_images\Q\Q628.jpg,16.0
./image_data/preprocessing_images\T\T904.jpg,19.0
./image_data/preprocessing_images\del\del309.jpg,26.0
./image_data/preprocessing_images\E\E263.jpg,4.0
./image_data/preprocessing_images\K\K970.jpg,10.0
./image_data/preprocessing_images\G\G881.jpg,6.0
./image_data/preprocessing_images\M\M488.jpg,12.0
./image_data/preprocessing_images\Y\Y655.jpg,24.0
./image_data/preprocessing_images\N\N585.jpg,13.0
./image_data/preprocessing_images\A\A898.jpg,0.0
./image_data/preprocessing_images\M\M515.jpg,12.0
./image_data/preprocessing_images\V\V144.jpg,21.0
./image_data/preprocessing_images\W\W784.jpg,22.0
./image_data/preprocessing_images\G\G218.jpg,6.0
./image_data/preprocessing_images\I\I897.jpg,8.0
./image_data/preprocessing_images\K\K279.jpg,10.0
./image_data/preprocessing_images\del\del220.jpg,26.0
./image_data/preprocessing_images\space\space109.jpg,28.0
./image_data/preprocessing_images\H\H730.jpg,7.0
./image_data/preprocessing_images\S\S863.jpg,18.0
./image_data/preprocessing_images\W\W408.jpg,22.0
./image_data/preprocessing_images\O\O41.jpg,14.0
./image_data/preprocessing_images\S\S685.jpg,18.0
./image_data/preprocessing_images\L\L11.jpg,11.0
./image_data/preprocessing_images\X\X789.jpg,23.0
./image_data/preprocessing_images\S\S618.jpg,18.0
./image_data/preprocessing_images\V\V444.jpg,21.0
./image_data/preprocessing_images\X\X928.jpg,23.0
./image_data/preprocessing_images\P\P317.jpg,15.0
./image_data/preprocessing_images\Z\Z274.jpg,25.0
